Date,Car_Sales
2005-01-31,311.67
2005-02-28,379.75
2005-03-31,438.01
2005-04-30,444.12
2005-05-31,348.74
2005-06-30,263.24
2005-07-31,209.64
2005-08-31,130.59
2005-09-30,91.05
2005-10-31,150.33
2005-11-30,214.52
2005-12-31,328.76
2006-01-31,457.2
2006-02-28,494.88
2006-03-31,541.19
2006-04-30,553.04
2006-05-31,483.79
2006-06-30,424.84
2006-07-31,310.53
2006-08-31,237.62
2006-09-30,280.38
2006-10-31,285.59
2006-11-30,375.77
2006-12-31,460.21
2007-01-31,592.1
2007-02-28,685.99
2007-03-31,703.29
2007-04-30,722.43
2007-05-31,642.66
2007-06-30,563.35
2007-07-31,
2007-08-31,453.54
2007-09-30,401.42
2007-10-31,419.58
2007-11-30,541.49
2007-12-31,614.91
2008-01-31,757.79
2008-02-29,796.99
2008-03-31,850.42
2008-04-30,867.82
2008-05-31,817.11
2008-06-30,719.79
2008-07-31,624.64
2008-08-31,
2008-09-30,522.73
2008-10-31,578.7
2008-11-30,669.44
2008-12-31,814.54
2009-01-31,911.12
2009-02-28,949.77
2009-03-31,1034.05
2009-04-30,1008.47
2009-05-31,942.39
2009-06-30,882.67
2009-07-31,801.19
2009-08-31,736.37
2009-09-30,686.16
2009-10-31,735.81
2009-11-30,832.92
2009-12-31,960.1
2010-01-31,1045.29
2010-02-28,1131.94
2010-03-31,1156.07
2010-04-30,1142.87
2010-05-31,1122.81
2010-06-30,1048.19
2010-07-31,929.76
2010-08-31,888.45
2010-09-30,860.81
2010-10-31,879.72
2010-11-30,984.15
2010-12-31,1121.97
2011-01-31,1089.62
2011-02-28,1317.57
2011-03-31,1276.43
2011-04-30,1333.86
2011-05-31,1258.93
2011-06-30,1165.71
2011-07-31,1083.66
2011-08-31,979.25
2011-09-30,999.81
2011-10-31,1050.39
2011-11-30,1157.11
2011-12-31,1231.48
2012-01-31,1339.96
2012-02-29,1428.66
2012-03-31,1497.8
2012-04-30,1301.9
2012-05-31,1394.26
2012-06-30,1329.14
2012-07-31,1231.4
2012-08-31,1187.29
2012-09-30,1140.77
2012-10-31,1189.06
2012-11-30,1273.32
2012-12-31,1366.64
2013-01-31,1512.68
2013-02-28,1592.76
2013-03-31,1630.18
2013-04-30,1613.99
2013-05-31,1530.14
2013-06-30,1464.53
2013-07-31,1376.23
2013-08-31,1304.21
2013-09-30,1302.23
2013-10-31,1205.96
2013-11-30,1466.53
2013-12-31,
2014-01-31,1662.53
2014-02-28,1736.68
2014-03-31,1742.33
2014-04-30,1768.78
2014-05-31,1710.27
2014-06-30,
2014-07-31,1529.86
2014-08-31,1476.92
2014-09-30,1455.39
2014-10-31,1439.58
2014-11-30,1602.29
2014-12-31,1708.76
2015-01-31,1823.83
2015-02-28,1870.6
2015-03-31,1959.39
2015-04-30,1891.9
2015-05-31,1871.43
2015-06-30,1818.01
2015-07-31,1664.52
2015-08-31,1610.19
2015-09-30,1608.7
2015-10-31,1635.69
2015-11-30,1699.05
2015-12-31,1845.72
2016-01-31,1937.39
2016-02-29,2050.68
2016-03-31,2063.62
2016-04-30,2099.9
2016-05-31,1991.7
2016-06-30,1914.95
2016-07-31,1848.24
2016-08-31,1745.81
2016-09-30,1761.87
2016-10-31,1824.26
2016-11-30,1851.52
2016-12-31,2002.11
2017-01-31,2114.46
2017-02-28,2205.68
2017-03-31,2207.85
2017-04-30,2194.78
2017-05-31,2171.39
2017-06-30,2081.4
2017-07-31,1990.6
2017-08-31,1929.7
2017-09-30,1894.37
2017-10-31,1951.66
2017-11-30,2037.18
2017-12-31,2131.32
2018-01-31,2297.21
2018-02-28,2350.15
2018-03-31,2359.39
2018-04-30,2384.95
2018-05-31,2292.09
2018-06-30,2241.83
2018-07-31,2159.39
2018-08-31,2056.98
2018-09-30,2077.86
2018-10-31,2105.89
2018-11-30,2198.39
2018-12-31,2334.17
2019-01-31,2405.61
2019-02-28,2476.23
2019-03-31,2516.05
2019-04-30,2506.13
2019-05-31,2460.67
2019-06-30,2383.53
2019-07-31,2292.38
2019-08-31,2240.57
2019-09-30,2209.48
2019-10-31,2277.34
2019-11-30,2327.28
2019-12-31,2501.27
2020-01-31,2573.66
2020-02-29,2626.58
2020-03-31,2097.97
2020-04-30,1918.81
2020-05-31,1836.99
2020-06-30,2265.4
2020-07-31,
2020-08-31,1990.14
2020-09-30,1831.66
2020-10-31,1741.39
2020-11-30,1811.58
2020-12-31,1963.67
2021-01-31,
2021-02-28,2332.9
2021-03-31,2361.8
2021-04-30,2140.51
2021-05-31,2446.42
2021-06-30,
2021-07-31,2099.56
2021-08-31,2057.85
2021-09-30,1973.62
2021-10-31,1919.39
2021-11-30,2047.9
2021-12-31,2358.16
2022-01-31,2834.85
2022-02-28,2967.29
2022-03-31,3081.74
2022-04-30,3113.18
2022-05-31,3095.82
2022-06-30,3119.93
2022-07-31,3007.29
2022-08-31,2998.62
2022-09-30,3023.04
2022-10-31,3098.89
2022-11-30,3206.72
2022-12-31,3385.35
2023-01-31,3511.86
2023-02-28,3646.22
2023-03-31,3726.65
2023-04-30,3766.71
2023-05-31,3796.73
2023-06-30,3670.45
2023-07-31,3674.51
2023-08-31,3608.57
2023-09-30,3659.44
2023-10-31,3772.56
2023-11-30,3879.23
2023-12-31,4013.53
2024-01-31,4177.92
2024-02-29,4331.25
2024-03-31,4386.71
2024-04-30,4435.39

